gene_id,gene_name,runon_chr,runon_start,runon_end,runon_strand,runon_width,runon_base_mean,runon_log2FC,runon_padj,gene_log2FC,gene_padj,stc15_time_v_vehicle,tissue,time
ENSMUSG00000018900,Slc22a5,11,53735368,53755367,-,20000,40.5914366320251,0.291830493927108,0.677510265050043,-0.158063013883979,0.782023303326545,1,Blood,1h
ENSMUSG00000018924,Alox15,11,70214978,70234977,-,20000,34.8828364926832,1.75216564222201,0.05160699466705,1.24258873777056,0.0674736948141218,1,Blood,1h
ENSMUSG00000019897,Ccdc59,10,105683695,105703694,+,20000,66.4798491377458,2.2676093509481,4.1697679597702e-09,0.177461487651318,0.630290408583256,1,Blood,1h
ENSMUSG00000020015,Cdk17,10,93077191,93097190,+,20000,121.882350193348,0.483645297109022,0.194790373437229,-0.287097721169027,0.216812341284861,1,Blood,1h
ENSMUSG00000020027,Socs2,10,95227352,95247351,-,20000,68.8581086981179,0.646142970844544,0.561887499147616,0.358892679424654,0.788739597686573,1,Blood,1h
ENSMUSG00000020101,Vsir,10,60208464,60228463,+,20000,637.96085707235,2.07319500739085,1.39702239187976e-05,0.393075699238995,0.3519460390602,1,Blood,1h
ENSMUSG00000020133,2310011J03Rik,10,80134088,80154087,-,20000,69.6886925255001,0.846231004978017,0.163202232424807,0.0286555965266768,0.962751978248461,1,Blood,1h
ENSMUSG00000020389,Cdkl3,11,51928993,51948992,+,20000,31.7194581499465,0.381586137071357,0.580186589463432,0.269602953999431,0.492292982749848,1,Blood,1h
ENSMUSG00000020420,Zfp607a,7,27579908,27599907,+,20000,182.280446466571,0.832675934827426,0.0563718718343257,0.395847995904334,0.307238890880129,1,Blood,1h
ENSMUSG00000020638,Cmpk2,12,26529837,26549836,+,20000,231.390817957827,-1.83401848346605,0.0349085583876951,-2.22868148378367,0.000856567346537643,1,Blood,1h
ENSMUSG00000020766,Galk1,11,115879283,115899282,-,20000,29.7147830699253,-0.0608148230860926,0.961452495625956,0.0435706013928518,0.967795253885466,1,Blood,1h
ENSMUSG00000021171,Esyt2,12,116336712,116356711,+,20000,148.199004425722,0.119302428944453,0.812681800295392,-0.58656212468079,0.0327737298089964,1,Blood,1h
ENSMUSG00000021366,Hivep1,13,42338503,42358502,+,20000,54.3410090385518,1.59957977379349,4.74071441177737e-07,0.611870181714184,0.0387177686819437,1,Blood,1h
ENSMUSG00000021457,Syk,13,52802829,52822828,+,20000,51.9141728948646,2.1938858918024,0.000181175063752972,0.602962434123198,0.249370431125799,1,Blood,1h
ENSMUSG00000021504,B4galt7,13,55758256,55770817,+,12562,33.9138014569365,1.00677908402869,0.0668751382683181,0.106136203730465,0.781883858198394,1,Blood,1h
ENSMUSG00000021886,Gpr65,12,98242904,98262903,+,20000,40.6767273424781,1.56987153889679,0.000451593619053781,0.533327442191057,0.0926504801092311,1,Blood,1h
ENSMUSG00000022043,Trim35,14,66548874,66568873,+,20000,16.5346503692896,1.84925558049801,0.00248004917541728,0.36142614717624,0.367887838693495,1,Blood,1h
ENSMUSG00000022102,Dok2,14,71015936,71035935,+,20000,45.8083120541192,0.891610488193422,0.198493839638466,0.352642356653738,0.350374198521366,1,Blood,1h
ENSMUSG00000022105,Rb1,14,73412942,73432941,-,20000,1007.79156030341,-1.11740246152961,0.00576747701860877,-1.05901744566797,0.220061417999344,1,Blood,1h
ENSMUSG00000022280,Rnf19a,15,36220079,36240078,-,20000,148.956721587271,1.11107435947965,0.000159341246480672,-0.898117238957764,0.0187524164181251,1,Blood,1h
ENSMUSG00000022387,Brd1,15,88551237,88571236,-,20000,14.7232954663762,0.291219819509215,0.766799520863029,0.066381728572559,0.836113320831182,1,Blood,1h
ENSMUSG00000022440,C1qtnf6,15,78387546,78407545,-,20000,16.8681167241479,0.758145595659676,0.405096234868824,0.633495420225229,0.606394805976059,1,Blood,1h
ENSMUSG00000022500,Litaf,16,10757139,10777138,-,20000,88.7234995246592,1.15654358792375,0.027646547709558,-0.107447377557844,0.871461919866864,1,Blood,1h
ENSMUSG00000022529,Zfp263,16,3568646,3588645,+,20000,121.103215368821,1.4124471779446,0.000293717934453205,0.309514753187489,0.20406485711504,1,Blood,1h
ENSMUSG00000022661,Cd200,16,45182498,45202497,-,20000,4.23408885663264,-0.0515594498406493,0.985458669665176,0.153745662759129,0.785539638528903,1,Blood,1h
ENSMUSG00000022799,Arhgap31,16,38398702,38418701,-,20000,93.2034015485419,1.62875446362866,1.17759542968777e-06,1.04539072348656,0.00165088156286995,1,Blood,1h
ENSMUSG00000022994,Adcy6,15,98468805,98487853,-,19049,3.24751876288368,-1.37844034653813,0.218495019468488,-0.591401772868352,0.403806215743258,1,Blood,1h
ENSMUSG00000023039,Krt7,15,101328195,101345624,+,17430,5.03107610804017,0.635745869173978,0.75869397814092,0.312989788389425,0.807442278937481,1,Blood,1h
ENSMUSG00000023045,Soat2,15,102071905,102091904,+,20000,27.5678556499914,3.02300656076261,0.00398118579056765,0.0140173766551832,0.992891242301851,1,Blood,1h
ENSMUSG00000023349,Clec4n,6,123223979,123239075,+,15097,2.55488977695848,-0.141097993450871,0.953758309045753,-0.482936315095438,0.473275921330701,1,Blood,1h
ENSMUSG00000023764,Sfi1,11,3061850,3081849,-,20000,82.4864135945067,1.253889162303,0.0201289506837688,0.269669683446864,0.557486186593026,1,Blood,1h
ENSMUSG00000023912,Slc25a27,17,43941158,43952781,-,11624,3.5266286796387,0.858629299559277,0.532733841721495,-0.0724987529615866,0.926679491138854,1,Blood,1h
ENSMUSG00000023987,Pgc,17,48045408,48065407,+,20000,153.333900067669,0.635051156413004,0.403960970175273,NA,NA,1,Blood,1h
ENSMUSG00000024143,Rhoq,17,87307498,87327497,+,20000,65.73311163179,1.20535738252426,0.0552330348062685,0.617295939920829,0.130859340999856,1,Blood,1h
ENSMUSG00000024260,Sap130,18,31856115,31876114,+,20000,12.5072102315996,1.32901278165922,0.0418744256707938,-0.386736983449085,0.309367563767601,1,Blood,1h
ENSMUSG00000024436,Mrps18b,17,36208324,36221270,-,12947,62.4668517258454,-0.0592085103105053,0.947974517581464,-0.015715309346729,0.986567714465037,1,Blood,1h
ENSMUSG00000024725,Ostf1,19,18536692,18556691,-,20000,39.701071073306,-0.0055363825679394,0.996739743842892,0.112671844205019,0.86333110492311,1,Blood,1h
ENSMUSG00000024731,Ms4a10,19,10926631,10939656,-,13026,18.8392591717888,0.595789478841329,0.683721131565748,0.0609448132598463,NA,1,Blood,1h
ENSMUSG00000024782,Ak3,19,28978233,28998232,-,20000,165.21598475364,0.338451562896415,0.26308634548431,-0.0191236289829096,0.988134096297947,1,Blood,1h
ENSMUSG00000024816,Frmd8,19,5879730,5899729,-,20000,3898.53684248769,0.537761882084147,0.145254573637295,0.128060606283557,0.781883858198394,1,Blood,1h
ENSMUSG00000025058,Tasl,X,84935106,84955105,+,20000,186.65393188872,1.28571153929213,0.01540656450845,0.305161636198733,0.52538541777372,1,Blood,1h
ENSMUSG00000025076,Casp7,19,56430777,56450071,+,19295,4.67721707160054,0.542097946316645,0.790723272475063,-0.0248305766802061,0.974572698849009,1,Blood,1h
ENSMUSG00000025142,Aspscr1,11,120600274,120604750,+,4477,7.93291486951316,1.09572533396341,0.266747252330681,-0.301037993447811,0.341874824618878,1,Blood,1h
ENSMUSG00000025280,Polr3a,14,24478764,24498763,-,20000,96.1452618610215,1.14508956327527,5.50387146182663e-06,0.22752477642226,0.211154949663206,1,Blood,1h
ENSMUSG00000025287,Acot9,X,154080651,154100650,+,20000,61.225297996439,0.694969157957263,0.187171932037133,-0.114991385859841,0.813492978075102,1,Blood,1h
ENSMUSG00000025316,Banp,8,122755998,122775997,+,20000,20.8067189583626,1.62261089428221,0.010447446956184,-1.08258998123846,0.00637967014614416,1,Blood,1h
ENSMUSG00000025371,Chmp6,11,119810375,119830374,+,20000,35.5861435645071,1.36024218490801,0.0112059526978303,-0.0151169366946188,0.975380292595411,1,Blood,1h
ENSMUSG00000025804,Ccr1,9,123742161,123762160,-,20000,250.18686015297,1.86749182587647,5.7209844420699e-06,-0.0642812652622989,0.940114462221658,1,Blood,1h
ENSMUSG00000025821,Zfp282,6,47885420,47897409,+,11990,27.4133722517232,1.32403623289543,0.0146228323720357,0.458101753610709,0.182436368341888,1,Blood,1h
ENSMUSG00000025887,Casp12,9,5373033,5393032,+,20000,2.89505805372471,-1.79356759109421,0.317115642803151,-1.15513067993485,0.0218793164930851,1,Blood,1h
ENSMUSG00000025893,Kbtbd3,9,4331712,4351711,+,20000,27.4922910951439,-0.486432832209678,0.343980766980344,-0.261262196883928,0.649987281329804,1,Blood,1h
ENSMUSG00000026135,Zfp142,1,74585585,74605584,-,20000,10.6938384017541,1.64428601598381,0.0586375244482376,0.621302971581899,0.170401292988395,1,Blood,1h
ENSMUSG00000026271,Gpr35,1,92914114,92934055,+,19942,113.104690514375,0.951081715525605,0.00549191082103714,0.579964785899705,0.177423505154714,1,Blood,1h
ENSMUSG00000026273,Mterf4,1,93208927,93228926,-,20000,53.0593636055551,0.518451194325361,0.576605230498534,0.354320038713166,0.278150846983327,1,Blood,1h
ENSMUSG00000026285,Pdcd1,1,93946027,93966026,-,20000,5.84082453856512,-0.621083460023495,0.71857660622053,0.45548837670504,0.735805024174165,1,Blood,1h
ENSMUSG00000026305,Lrrfip1,1,91045038,91065037,+,20000,310.355827023014,0.563648661981477,0.136643090520662,0.170811527502968,0.507844187169564,1,Blood,1h
ENSMUSG00000026473,Glul,1,153785470,153805469,+,20000,108.93013315132,1.62121351652381,2.39290373659261e-09,-0.933279073100947,0.197659843731698,1,Blood,1h
ENSMUSG00000026639,Lamb3,1,193026187,193046186,+,20000,2.88872890646996,-0.527155610285712,0.768848107812303,0.278843030924864,0.605507838370993,1,Blood,1h
ENSMUSG00000026701,Prdx6,1,161047682,161067681,-,20000,51.1767843180086,0.496828400403315,0.541060335708673,0.167591788153329,0.736633246225369,1,Blood,1h
ENSMUSG00000026858,Miga2,2,30275532,30282265,+,6734,28.3032499985812,-0.181241537769294,0.858329438953638,0.0389096339331346,0.971975182588131,1,Blood,1h
ENSMUSG00000026918,Brd3,2,27317046,27335611,-,18566,15.5641039272927,-0.0781583193527596,0.94032028726361,0.10928329430898,0.806082590945877,1,Blood,1h
ENSMUSG00000027164,Traf6,2,101532015,101552014,+,20000,51.7262004453505,1.43098580649444,6.19083137844043e-06,0.759423442970016,0.00243205309928411,1,Blood,1h
ENSMUSG00000027173,Depdc7,2,104542502,104552128,-,9627,8.70259604564964,2.14729071418615,0.0166349212269959,-0.167145326370121,0.922260606433231,1,Blood,1h
ENSMUSG00000027215,Cd82,2,93229456,93249455,-,20000,86.9930085235524,0.711606903276136,0.0668745095593517,-1.15145880953099,0.112510722273325,1,Blood,1h
ENSMUSG00000027514,Zbp1,2,173028405,173048404,-,20000,51.6934525294747,0.699118414519829,0.337356217378777,0.155663275695424,0.687270930281626,1,Blood,1h
ENSMUSG00000027582,Zgpat,2,181022588,181023027,+,440,97.7582900154262,0.768644448735553,0.0854246320298874,0.457655762338398,0.22127469182134,1,Blood,1h
ENSMUSG00000027667,Zfp639,3,32574983,32583613,+,8631,67.2884194310103,1.90156359762386,5.68918769795778e-10,0.484064191611801,0.130429016456813,1,Blood,1h
ENSMUSG00000027829,Ccnl1,3,65833572,65853571,-,20000,62.5839845647423,2.01334520604556,4.83050184326558e-06,0.0688448084158493,0.841355555042843,1,Blood,1h
ENSMUSG00000027855,Sycp1,3,102705815,102725814,-,20000,0.940091563659833,-0.0134179885739202,NA,0.897474572364979,0.776301040664834,1,Blood,1h
ENSMUSG00000027857,Tshb,3,102664714,102684713,-,20000,31.0054397499715,-1.63574840506071,0.00107116149892034,-2.76992071405797,NA,1,Blood,1h
ENSMUSG00000027878,Notch2,3,98057678,98067975,+,10298,208.631740750922,2.67195618826461,1.224152977801e-06,0.999459654254023,0.0177557683125197,1,Blood,1h
ENSMUSG00000027952,Pmvk,3,89376321,89396320,+,20000,3.08745652699603,0.0103928924188092,0.997902631496701,-0.0201472938019062,0.99116089968924,1,Blood,1h
ENSMUSG00000027995,Tlr2,3,83723579,83743578,-,20000,76.5015474260256,2.04498367358796,5.05866253084587e-05,0.404414213004526,0.341291016792503,1,Blood,1h
ENSMUSG00000028173,Wls,3,159641660,159661659,+,20000,45.2043842466137,0.00235922462219513,0.998073228025255,0.495973987389689,0.0951543772029314,1,Blood,1h
ENSMUSG00000028550,Atg4c,4,99148025,99168024,+,20000,143.353456629852,1.8814154357829,0.000514820823276435,0.204215173110709,0.781883858198394,1,Blood,1h
ENSMUSG00000028639,Ybx1,4,119115178,119135177,-,20000,72.4564488414172,0.714941187423676,0.0871745883490842,0.0115333196789698,0.982301978712674,1,Blood,1h
ENSMUSG00000028688,Toe1,4,116641199,116661198,-,20000,25.9226907874015,1.79069348652142,4.57415528768647e-06,0.31179466887637,0.326836867933196,1,Blood,1h
ENSMUSG00000028730,Cfap57,4,118400926,118411747,-,10822,22.4808858774205,-1.54237237246121,0.163202232424807,-3.56055021828807,7.56439546695991e-06,1,Blood,1h
ENSMUSG00000028796,Phc2,4,128646675,128653050,+,6376,35.7095874010391,1.09348966023659,0.060888378813665,0.324924814930019,0.253926150414485,1,Blood,1h
ENSMUSG00000029090,Adgra3,5,50097298,50117297,-,20000,16.9778416527438,1.13660552468458,0.252900534052905,-0.0339580893766156,0.979243736234913,1,Blood,1h
ENSMUSG00000029127,Zbtb49,5,38337424,38357423,-,20000,15.1640587291981,-0.198696197561419,0.8634562141291,0.242882459702401,0.542412387822418,1,Blood,1h
ENSMUSG00000029128,Rab28,5,41762319,41782318,-,20000,13.9430822379461,-0.873562783551252,0.35361999288652,0.118673874900507,0.775171793839429,1,Blood,1h
ENSMUSG00000029149,Krtcap3,5,31410542,31430541,+,20000,34.1707267893794,0.586875627459772,0.239049531083652,0.478414281773163,0.481558397827644,1,Blood,1h
ENSMUSG00000029177,Cenpa,5,30832175,30852174,+,20000,52.1743586627205,-0.6735582644579,0.197705336019523,-1.16448077331409,0.00490260489435402,1,Blood,1h
ENSMUSG00000029338,Antxr2,5,98043232,98063231,-,20000,37.7868294998509,0.371190206085639,0.65907638532125,-0.261155192584982,0.500280817326902,1,Blood,1h
ENSMUSG00000029372,Ppbp,5,90917923,90920293,+,2371,1791.73267122364,1.58227511895015,0.00103596144478134,-1.49310481335,7.8208335936661e-05,1,Blood,1h
ENSMUSG00000029416,Slc15a4,5,127652728,127672727,-,20000,294.250703953609,1.52935443704393,0.00142970547776629,0.384180491192186,0.208207992882971,1,Blood,1h
ENSMUSG00000029557,Mrm2,5,140307308,140313428,-,6121,38.5253980220261,1.85317170184098,1.39702239187976e-05,0.0595634735512291,0.934606575132324,1,Blood,1h
ENSMUSG00000029663,Gngt1,6,3997437,4003903,+,6467,69.4483836696612,0.655816258025505,0.33332612512803,-1.11535999353358,0.692685637814299,1,Blood,1h
ENSMUSG00000030019,Fbxl14,6,119459592,119479591,+,20000,99.1892275546569,0.750950837662918,0.0913863652167283,0.0250748717955729,0.970357408878886,1,Blood,1h
ENSMUSG00000030047,Arhgap25,6,87415527,87435526,-,20000,103.726175375506,2.04738005473295,6.75664160828394e-06,0.537668870193025,0.0537015774172479,1,Blood,1h
ENSMUSG00000030157,Clec2d,6,129163498,129183497,+,20000,77.7942593128526,0.523899227226566,0.264331681902641,0.0267697896815602,0.972346593772873,1,Blood,1h
ENSMUSG00000030161,Gabarapl1,6,129519310,129539309,+,20000,53.3836666732863,0.841128359986155,0.00505814087689922,0.388399442664335,0.386137687684233,1,Blood,1h
ENSMUSG00000030292,Smco2,6,146772905,146790086,+,17182,32.8624611757465,1.51920690202646,0.00201715804566156,-2.23149225730602,NA,1,Blood,1h
ENSMUSG00000030341,Tnfrsf1a,6,125339448,125359447,+,20000,66.6726406841566,1.64751873759005,1.66315225795951e-05,0.461319259208327,0.115200035939226,1,Blood,1h
ENSMUSG00000030469,Zfp719,7,43242660,43256648,+,13989,55.514272925326,1.48548043987505,0.00126657295865588,0.60659664117612,0.054524080588462,1,Blood,1h
ENSMUSG00000030604,Zfp626,7,27522342,27538031,+,15690,10.4391840185593,-0.0338247377939196,0.980823210576745,-0.0120094941744487,0.979391424805324,1,Blood,1h
ENSMUSG00000030671,Pde3b,7,114138487,114158486,+,20000,37.308723129971,2.52877659170279,2.71583490604859e-09,0.276611844400826,0.423815134290357,1,Blood,1h
ENSMUSG00000030688,Stard10,7,100995834,101015833,+,20000,162.39764364029,0.86571516960017,0.066533755287313,-0.138707599013311,0.937132775142164,1,Blood,1h
ENSMUSG00000030768,Disp1,1,182847830,182867829,-,20000,13.4948763482933,1.29658402981404,0.322650158396001,0.231180627884264,0.734914177006693,1,Blood,1h
ENSMUSG00000030788,Rnf141,7,110392738,110412737,-,20000,116.728328619018,0.204504825241102,0.788674179001239,0.0549567270547721,0.923127533832511,1,Blood,1h
ENSMUSG00000030929,Eri2,7,119363054,119383053,-,20000,35.330654495953,-0.111554608276337,0.915933390393968,-0.10295720222654,0.868468634462825,1,Blood,1h
ENSMUSG00000031295,Phka2,X,159374138,159394137,+,20000,78.3382002803057,0.303058521024243,0.699867808276438,-0.164039483393932,0.685425291905061,1,Blood,1h
ENSMUSG00000031504,Rab20,8,11483518,11503517,-,20000,34.776069464986,2.16018162331414,4.7584176910045e-06,0.831591508340999,0.00503453448217632,1,Blood,1h
ENSMUSG00000031575,Ash2l,8,26286024,26306023,-,20000,111.160826100681,1.21352391869735,1.94878706978829e-05,0.00940696307398869,0.985525835516393,1,Blood,1h
ENSMUSG00000031617,Tmem184c,8,78302611,78322610,-,20000,44.265201776221,1.92853994479341,3.01027896583507e-08,-0.0927955397353329,0.868767293117838,1,Blood,1h
ENSMUSG00000031729,Ist1,8,110377957,110397956,-,20000,77.7746725109161,1.44209500053802,8.64496737023772e-05,0.0920813136367646,0.762493012309742,1,Blood,1h
ENSMUSG00000031813,Mvb12a,8,72000671,72020670,+,20000,15.6617226770538,-0.162782428341713,0.910701607350734,0.13532311884363,0.780935776130744,1,Blood,1h
ENSMUSG00000031962,Cdh15,8,123594137,123614136,+,20000,188.35927737009,1.31643712165071,0.0854489425008005,-1.77214974402088,NA,1,Blood,1h
ENSMUSG00000032000,Birc3,9,7837059,7848699,-,11641,309.784164979697,1.61775606218338,3.93215101156996e-11,0.712377645610723,0.0187975236073977,1,Blood,1h
ENSMUSG00000032300,1700017B05Rik,9,57140400,57160399,-,20000,127.125235313423,2.04734568115612,6.25659559799663e-06,0.766452124732354,0.0369805362328594,1,Blood,1h
ENSMUSG00000032590,Apeh,9,107956501,107962611,-,6111,377.614400794564,-1.86912539540587,0.00820508516380843,-0.687073138935987,0.24184644210169,1,Blood,1h
ENSMUSG00000032733,Snx33,9,56804477,56824476,-,20000,93.5635234447348,1.26436960155771,3.31112622685565e-05,0.0583362398669003,0.930367020221409,1,Blood,1h
ENSMUSG00000032870,Smap2,4,120808897,120825513,-,16617,84.438797686058,1.17236598678525,0.0183179241192738,-0.47764878633414,0.399537704165885,1,Blood,1h
ENSMUSG00000033319,Fem1c,18,46614813,46634812,-,20000,126.777341637815,1.08133357227736,0.0229642346676296,0.0921794959026632,0.843656570617741,1,Blood,1h
ENSMUSG00000033355,Rtp4,16,23432973,23452972,+,20000,36.503833541915,0.566555664683474,0.247607827784574,0.246199421055761,0.803191403864089,1,Blood,1h
ENSMUSG00000033446,Lpar6,14,73480735,73500734,+,20000,127.120874709725,-0.386825365714543,0.672193402710327,0.0546635485945607,0.951438950234686,1,Blood,1h
ENSMUSG00000033554,Dph5,3,115722982,115742981,+,20000,227.185342320843,1.19130337616199,3.08711223153175e-06,0.137973415183152,0.843725331382819,1,Blood,1h
ENSMUSG00000033819,Ppp1r16a,15,76579120,76580932,+,1813,12.1838618975592,0.819375665345138,0.58369891604379,0.0411813001861581,0.95338980751127,1,Blood,1h
ENSMUSG00000033855,Ston1,17,88956125,88976087,+,19963,4.58958894139655,2.00297640005491,0.129710351039877,0.0300412393218562,0.985107430591083,1,Blood,1h
ENSMUSG00000033972,Zfp944,17,22536970,22556969,-,20000,12.03259528453,-0.0514772710901074,0.972924726561848,-0.374237412683445,0.206684994185131,1,Blood,1h
ENSMUSG00000034171,Faah,4,115833866,115853865,-,20000,14.2616844368896,0.991924572525496,0.154808131898126,0.074697083458008,0.954155519330238,1,Blood,1h
ENSMUSG00000034216,Vps18,2,119128935,119148934,+,20000,18.9443739974396,2.24348006521465,0.000737434628717897,0.404724246888342,0.265103436952557,1,Blood,1h
ENSMUSG00000034278,Dnajc17,2,118987516,119002980,-,15465,153.065721425162,0.890262862284765,0.0234495647807291,0.133084197181944,0.776052355199105,1,Blood,1h
ENSMUSG00000034459,Ifit1,19,34627410,34647409,+,20000,64.474401997056,-0.211771962798773,0.802147601502979,-0.705577435716333,0.54860980642176,1,Blood,1h
ENSMUSG00000034575,Tent4a,13,69626078,69646077,-,20000,23.0907101895996,0.860137012523306,0.0783459102135843,-0.903236247530444,0.0668844902616798,1,Blood,1h
ENSMUSG00000034620,Rxylt1,10,121894019,121914018,-,20000,18.6346547783849,1.80766575197607,0.00252576095790079,0.425587662964215,0.155265565597546,1,Blood,1h
ENSMUSG00000034765,Dusp5,19,53530863,53550862,+,20000,24.0697338402995,2.7432590772762,5.47952714587711e-07,-0.0636263066674851,0.947101836345765,1,Blood,1h
ENSMUSG00000034807,Colgalt1,8,72077556,72097555,+,20000,77.4889444989376,0.729107091299536,0.117064619917473,0.575652611077527,0.0173246752195363,1,Blood,1h
ENSMUSG00000035126,Dnai4,4,102884040,102895265,-,11226,16.171980532226,-0.338774751838857,0.902856035691665,-1.54651177284285,0.00872191810173049,1,Blood,1h
ENSMUSG00000035208,Slfn8,11,82882657,82892983,-,10327,134.324158381314,1.62354315198293,2.11402073684735e-05,0.261362869309266,0.51951793089656,1,Blood,1h
ENSMUSG00000035365,Parpbp,10,87907294,87927293,-,20000,44.5460413748382,-0.899862257810346,0.0560011616556261,-1.83233688921883,0.000279522892349272,1,Blood,1h
ENSMUSG00000035776,Cd99l2,X,70443666,70463665,-,20000,112.995736681378,2.07180255971129,4.74793520008928e-08,-0.109541673368911,0.875184993324253,1,Blood,1h
ENSMUSG00000035818,Plekhs1,19,56475158,56495157,+,20000,0.883473314951586,-1.05015802124403,NA,-1.17988142962677,0.464548202945208,1,Blood,1h
ENSMUSG00000036111,Lmo1,7,108717779,108737778,-,20000,12.5074871972489,0.186363816514532,0.932155130918643,0.146980424820026,0.888250379956782,1,Blood,1h
ENSMUSG00000036334,Igsf10,3,59204156,59224155,-,20000,2.70891458252466,-1.30240874398291,0.485344785610578,-0.478943467478311,0.741411597796219,1,Blood,1h
ENSMUSG00000036552,Ermard,17,15284113,15304112,+,20000,135.247391909983,1.01918814392704,0.0919364727141306,0.199576358243029,0.679144248512257,1,Blood,1h
ENSMUSG00000036744,Or2ag2b,7,106420680,106440679,+,20000,0.621231055013584,-1.85017631581936,NA,-1.07384199770548,NA,1,Blood,1h
ENSMUSG00000036820,Amdhd2,17,24360570,24374806,-,14237,42.1599568096376,1.20812411337732,0.0503616210125433,0.408253693161763,0.0402606452375386,1,Blood,1h
ENSMUSG00000036894,Rap2b,3,61275852,61295851,+,20000,124.307743072951,1.77582245116392,2.89103550939228e-05,-0.0441035402944421,0.957171959185319,1,Blood,1h
ENSMUSG00000037025,Foxa2,2,147864797,147884796,-,20000,229.206985592529,-0.0691087777199046,0.979054032103264,0.939175907024367,0.615785550969663,1,Blood,1h
ENSMUSG00000037075,Rnf139,15,58774240,58794239,+,20000,351.432130124795,0.55675894438004,0.0308860281461798,-0.252167056688858,0.453999857016626,1,Blood,1h
ENSMUSG00000037355,Uvssa,5,33577099,33597098,+,20000,13.8300627822673,1.42639153757967,0.0388198365786493,0.0177744716136909,0.967538841758287,1,Blood,1h
ENSMUSG00000037486,Asxl2,12,3556848,3576847,+,20000,125.555967150977,1.16873817621722,6.30677154621366e-05,-0.647156372634506,0.0530761618952236,1,Blood,1h
ENSMUSG00000037627,Rgs22,15,35989625,36009624,-,20000,3.65955159401961,0.266620325209324,0.920515240157939,-0.568460892341084,0.9153438207593,1,Blood,1h
ENSMUSG00000037674,Rfx7,9,72530112,72550111,+,20000,60.6262176397809,1.57706609650079,1.90905395675434e-05,0.419222698113201,0.0633713537193992,1,Blood,1h
