gene_id,gene_name,runon_chr,runon_strand,runon_start,runon_end,runon_base_mean,runon_log2FC,runon_padj,dose_v_0,gene_log2FC,gene_padj
ENSG00000111877,MCM9,6,-,118783455,118813454,103.808229469312,-0.4653913854352,1,3,-0.187883786917448,0.962073001996136
ENSG00000112773,TENT5A,6,-,81645730,81745729,282.738281027863,0.250297674883622,1,3,-0.230471076862004,0.647901821271665
ENSG00000113209,PCDHB5,5,+,141138616,141149615,40.0754156078645,-0.323005051643283,1,3,-0.230722147609316,0.778490180511841
ENSG00000114019,AMOTL2,3,-,134342347,134355346,224.234955152919,-0.136720836139363,1,3,-0.145357274104512,0.702494710603933
ENSG00000115170,ACVR1,2,-,157658446,157736445,139.83740487544,-0.0472033334194521,1,3,-0.724226772185239,0.504428402747181
ENSG00000116157,GPX7,1,+,52609052,52629051,72.0080300251906,-0.351649860939064,0.841842457547395,3,0.162393146127078,0.801839396379039
ENSG00000116285,ERRFI1,1,-,8000727,8011726,46.1601304110291,0.104185903061659,1,3,-0.138379327290493,1
ENSG00000116903,EXOC8,1,-,231322753,231332752,448.244948742814,-0.212887438975611,1,3,-0.667659718559989,0.601607559509191
ENSG00000118482,PHF3,6,+,63726012,63772011,78.9126454727202,0.125451765844437,1,3,-0.00456730670061251,1
ENSG00000119401,TRIM32,9,+,116701300,116731299,329.579181943108,-0.23856559261935,1,3,-0.580329159810856,0.504428402747181
ENSG00000120327,PCDHB14,5,+,141227760,141243759,28.5939668882869,0.378728210414167,1,3,-0.67998998676594,0.77621767176396
ENSG00000120889,TNFRSF10B,8,-,22988133,23020132,176.050737709587,-0.34531522050663,0.614117666397246,3,0.043976925098163,1
ENSG00000121858,TNFSF10,3,-,172490508,172505507,99.562884988699,-0.0653167867527674,1,3,0.167681170012434,1
ENSG00000121903,ZSCAN20,1,+,33501644,33515643,28.8176205764351,-0.717694602569818,0.855430978999829,3,-0.273585405238658,0.66134140229303
ENSG00000124459,ZNF45,19,-,43888624,43912623,168.173241406367,0.223365500434863,1,3,0.144514508749196,0.802924729134183
ENSG00000124575,H1-3,6,-,26217212,26234211,292.600324492028,-0.073610659021329,1,3,0.0410031708350358,1
ENSG00000125378,BMP4,14,-,53934736,53949735,58.2307361735462,0.00683451967261398,1,3,-0.0291200647419429,1
ENSG00000126804,ZBTB1,14,+,64524952,64539951,569.518673114438,0.222579249824439,1,3,0.322356793638033,0.555267656875159
ENSG00000126822,PLEKHG3,14,+,64750250,64766249,128.716242109215,-0.175456148108913,1,3,-0.0834432542015287,0.990659249043253
ENSG00000127080,IPPK,9,-,92603183,92613182,33.6919535880152,-0.122161354999046,1,3,-0.0278382909379905,1
ENSG00000127081,ZNF484,9,-,92809182,92844181,394.678134785954,0.0939766704675708,1,3,0.188892384259125,1
ENSG00000128567,PODXL,7,-,131481271,131500270,80.8577894490801,-0.441437181143545,0.832560807803114,3,-0.811901165672643,0.580919889765292
ENSG00000128590,DNAJB9,7,+,108574851,108586850,14.5615483408511,0.585863614157535,1,3,-0.894787916396672,0.506354018958429
ENSG00000131115,ZNF227,19,+,44237269,44256268,79.9967567047598,-0.0884073474716392,1,3,0.266027234841119,0.735624143895245
ENSG00000132436,FIGNL1,7,-,50418133,50444132,993.631638408929,0.173629156076834,1,3,0.286659325511675,0.643392306970672
ENSG00000134013,LOXL2,8,-,23278897,23296896,46.9879513111402,-0.532804246305632,0.772172826881847,3,-0.751107151746601,0.47642466944607
ENSG00000134247,PTGFRN,1,+,116990354,117001353,27.2074106604647,-0.0887851736352521,1,3,-0.30591904850135,0.566931586143631
ENSG00000135069,PSAT1,9,+,78330094,78346093,10.5223943763678,-0.0873461512590394,1,3,-0.113522241339791,0.964263481761319
ENSG00000135083,CCNJL,5,-,160231083,160249082,73.8092856285883,-0.287083846560214,1,3,-0.0325830748120326,1
ENSG00000135373,EHF,11,+,34663289,34722288,64.6608967373938,-0.0358369384432912,1,3,-0.0647348203999821,1
ENSG00000135679,MDM2,12,+,68845545,68861544,104.206132534351,0.0519169602522879,1,3,-0.0304492940420059,1
ENSG00000135763,URB2,1,+,229660201,229677200,88.7188418039201,-0.322565510330344,1,3,-0.15620081538356,0.55844529180974
ENSG00000137338,PGBD1,6,+,28302550,28332549,135.256648093684,-0.556653508356255,0.892759930210189,3,0.123275632565561,0.775504821466456
ENSG00000137393,RNF144B,6,+,18468871,18480870,25.9300576242355,-0.0265223111758164,1,3,-0.0741572242062828,1
ENSG00000137492,THAP12,11,-,76336956,76349955,91.7678916657025,-0.252600278199237,1,3,0.27674853098099,0.47642466944607
ENSG00000137962,ARHGAP29,1,-,94143905,94168904,344.894222074239,0.0390398817716456,1,3,-0.0179007539831615,1
ENSG00000138166,DUSP5,10,+,110511534,110544533,253.130186317432,-0.623213091960642,0.608647171330922,3,-0.301504023383645,0.526358930207558
ENSG00000139174,PRICKLE1,12,-,42445757,42456756,39.1575639789938,-0.450485028922799,0.976551393804566,3,-0.810949137065553,0.47642466944607
ENSG00000139990,DCAF5,14,-,69038881,69050880,46.9108006467491,-0.260663800518354,1,3,-0.319693696597618,0.590318221784195
ENSG00000140406,TLNRD1,15,+,81005789,81105788,596.073356553008,-0.432524286196198,0.764143583457861,3,-0.124984953084833,0.812391670276294
ENSG00000140836,ZFHX3,16,-,72770885,72782884,29.2726455015738,0.375383245142167,1,3,-0.974253717303617,0.587676471108754
ENSG00000141642,ELAC1,18,+,50988122,51007121,35.5386327779363,-0.248152357068531,1,3,-0.23182964525554,0.869622361144064
ENSG00000142149,HUNK,21,+,32004065,32014064,6.45460917638446,1.19747371369409,0.968977834968397,3,-0.793399423962275,0.47642466944607
ENSG00000142864,SERBP1,1,-,67378810,67407809,209.671825615869,-0.00838875507620887,1,3,-0.401463045770643,0.656284938455255
ENSG00000143079,CTTNBP2NL,1,+,112461165,112489164,70.5185542136213,-0.865279989368504,0.613459502734151,3,-0.734426227186086,0.514600654827994
ENSG00000143315,PIGM,1,-,160011953,160024952,10.1895564304162,2.41536446875204,0.504428402747181,3,0.0043294735779345,1
ENSG00000143457,GOLPH3L,1,-,150636230,150646229,108.996494788056,0.146549307161732,1,3,0.139233826981491,0.667810178629013
ENSG00000144815,NXPE3,3,+,101828232,101849231,106.967073932852,-0.287268220146696,1,3,-0.071280592426061,0.981784897891097
ENSG00000145014,TMEM44,3,-,194576678,194587677,39.9074560044079,-0.254135011848707,1,3,-0.438162738918448,0.47642466944607
ENSG00000145365,TIFA,4,-,112262537,112274536,74.1477206657576,0.271086687162232,0.992785300674389,3,0.119560183656863,0.916421896085583
ENSG00000145632,PLK2,5,-,58440982,58453981,170.400427930601,0.0819183925690734,1,3,-0.0354676201773675,1
ENSG00000145919,BOD1,5,-,173586145,173607144,100.606231445039,-0.61523380424159,0.58475385958724,3,-0.203327568086639,0.518076453970108
ENSG00000146242,TPBG,6,+,82367421,82467420,465.197740378897,0.0449796775161514,1,3,-0.127650734257849,0.914735827584965
ENSG00000146278,PNRC1,6,+,89085161,89111160,100.848376518891,0.249324144958882,1,3,-0.0730245015432884,1
ENSG00000146648,EGFR,7,+,55211629,55224628,69.3013970094905,-0.645755071737988,0.679401787767214,3,-1.02342959526188,0.558624895615469
ENSG00000146802,TMEM168,7,-,112751377,112762376,15.1168517910771,0.378786491678862,1,3,-0.0450715642399729,1
ENSG00000147124,ZNF41,X,-,47425178,47445177,60.4232439628789,0.124136747837771,1,3,0.191338893058646,0.803857361963326
ENSG00000147454,SLC25A37,8,+,23575464,23608463,53.8175252926019,0.167277209526149,1,3,-0.059560175171604,1
ENSG00000147650,LRP12,8,-,104467236,104489235,85.5783898015964,0.563053690050637,0.626421718192424,3,0.226987264070066,0.514600654827994
ENSG00000147679,UTP23,8,+,116774685,116791684,34.6236401740336,0.0481654702822933,1,3,0.291606899238451,0.89766584094634
ENSG00000148019,CEP78,9,+,78279691,78292690,25.5567054590898,-0.116589940568965,1,3,0.219734409294061,0.732910400738051
ENSG00000148120,AOPEP,9,+,95087160,95115159,176.819869896928,-0.0631138679791747,1,3,0.130643054032618,0.963503588079673
ENSG00000148429,USP6NL,10,-,11440510,11460509,156.096224121607,-0.615064262606512,0.720763890711123,3,-0.0264419055500035,1
ENSG00000148773,MKI67,10,-,128076659,128096658,145.366941025256,-0.506206080536425,0.867795424403218,3,-1.63462742614498,0.527515606107388
ENSG00000149218,ENDOD1,11,+,95132646,95159645,274.882040595718,0.0341235755637386,1,3,-0.00714970962154798,1
ENSG00000149418,ST14,11,+,130210363,130220362,24.6282756915011,-0.100799769894068,1,3,-0.0277401963863511,1
ENSG00000151014,NOCT,4,+,139045940,139061939,245.31296285709,-0.0911248804521634,1,3,-0.224150637214686,0.883551873395596
ENSG00000152457,DCLRE1C,10,-,14886613,14904612,206.778919896736,0.215390425869693,1,3,0.14731111395894,1
ENSG00000152977,ZIC1,3,+,147416720,147476719,101.535258182838,-0.292795366922769,1,3,0.0679628444580876,1
ENSG00000152990,ADGRA3,4,-,22356376,22387375,76.9355142871618,-0.24310117514635,1,3,-0.363709312535516,0.553987402669959
ENSG00000153037,SRP19,5,+,112869789,112911788,344.160726238728,-0.15472488192126,1,3,0.271118611809355,0.504453110014519
ENSG00000154265,ABCA5,17,-,69229311,69244310,7.96704194879228,-0.520905998452942,1,3,0.316319760669607,0.75864524341659
ENSG00000154447,SH3RF1,4,-,169037259,169094258,182.860906685897,-0.119059770532441,1,3,-0.397102248343891,0.638343325616219
ENSG00000155275,TRMT44,4,+,8476556,8496555,73.250483763265,-0.251814313913052,1,3,0.233470019877431,0.58790735818557
ENSG00000155666,KDM8,16,+,27221769,27236768,34.3246366280152,0.229504245795733,1,3,0.0921056095932282,1
ENSG00000157540,DYRK1A,21,+,37526359,37551358,44.6265293741235,0.144672066165863,1,3,-0.00813002466272455,1
ENSG00000157654,PALM2AKAP2,9,+,110172513,110182512,23.9365783660779,-0.450851045668572,1,3,-0.975038047416834,0.47642466944607
ENSG00000158615,PPP1R15B,1,-,204379381,204403380,660.530824855353,-0.193718884690791,1,3,-0.125465616463183,0.91151187201411
ENSG00000158636,EMSY,11,+,76553032,76570031,59.6310735902825,-0.0723263503201686,1,3,-0.256567620622484,0.985776729417794
ENSG00000162616,DNAJB4,1,+,78017965,78030964,128.539298405337,0.400200045903518,0.732173574600669,3,0.412607451440832,0.58790735818557
ENSG00000162924,REL,2,+,60931613,60957612,262.375908524773,-0.0655200324892701,1,3,-0.0843419366585094,1
ENSG00000163235,TGFA,2,-,70433284,70447283,43.0775645290547,-0.0277150591527348,1,3,-0.0391173391718043,1
ENSG00000163545,NUAK2,1,-,205291063,205302062,29.1717052202679,0.424228309134442,1,3,-0.372263508083376,0.673328964067783
ENSG00000163684,RPP14,3,+,58320194,58332193,750.78584373114,0.192445662241033,0.630475849128787,3,0.00367828762467514,1
ENSG00000163866,SMIM12,1,-,34777362,34850361,159.430715462994,-0.00888737431965748,1,3,-0.0696510680402361,1
ENSG00000164219,PGGT1B,5,-,115193012,115204011,33.4761608604634,0.613017830043419,0.914509822404416,3,0.321408849322,0.653939827777068
ENSG00000164465,DCBLD1,6,+,117549798,117562797,20.574677213743,0.0283983502706397,1,3,-0.0348957500117475,1
ENSG00000164823,OSGIN2,8,+,89927889,89937888,42.389155718865,0.453579992549117,1,3,0.289220268457225,0.504428402747181
ENSG00000165300,SLITRK5,13,+,87679617,87690616,10.2542677499913,0.237131735828571,1,3,-0.198910825988653,1
ENSG00000166439,RNF169,11,+,74842414,74921413,548.259283027875,-0.294301813334594,0.913600074973093,3,-0.230073925151198,0.93866193227132
ENSG00000167173,C15orf39,15,+,75212170,75233169,93.9457668470524,-0.502223255209129,0.771074559701951,3,-0.89979529576313,0.489405467492054
ENSG00000167193,CRK,17,-,1400693,1420692,77.7587868506695,0.208013374066552,1,3,0.163314906654315,0.685341777568221
ENSG00000167384,ZNF180,19,-,44464443,44474442,50.0629216833988,-0.0906879181065282,1,3,-0.0836229373367052,1
ENSG00000167637,ZNF283,19,+,43852018,43874017,67.9844218618131,-0.016268553131889,1,3,0.0187990104669623,1
ENSG00000168214,RBPJ,4,+,26434924,26453923,60.5095223766008,-0.00861331663328361,1,3,-0.150833818147146,1
ENSG00000168264,IRF2BP2,1,-,234585269,234604268,198.110050217479,0.131404295168934,1,3,-0.34836504081864,0.47642466944607
ENSG00000168556,ING2,4,+,183512430,183523429,26.2347762506889,-0.43650950442576,1,3,0.107549108553889,1
ENSG00000168792,ABHD15,17,-,29546547,29560546,150.556865379023,-0.0566163677308703,1,3,0.0244934583352542,1
ENSG00000169018,FEM1B,15,+,68295863,68305862,117.335766915437,-0.114102832821254,1,3,0.191355294600583,0.665149754912444
ENSG00000169047,IRS1,2,-,226718312,226731311,12.4692169717608,-0.775026606189189,0.935114710712977,3,-0.363695058262931,0.658818126022844
ENSG00000169252,ADRB2,5,+,148828624,148855623,55.0483783895228,0.0571718226142545,1,3,-0.0645691833937568,1
ENSG00000169981,ZNF35,3,+,44660792,44670791,170.484943214746,-0.061738649239762,1,3,0.178067012729896,0.838063030082018
ENSG00000170631,ZNF16,8,-,144919358,144930357,89.767666813071,-0.473696633503083,0.778045353673881,3,-0.0312938216657637,1
ENSG00000170745,KCNS3,2,+,17932959,17943958,41.2916016173825,-1.68939361049223,0.47642466944607,3,0.23850478676583,0.760669661832609
ENSG00000170846,NA,4,+,6676048,6687047,18.4144200557935,-0.999396057226887,0.657983277294333,3,0.0631499321956657,1
ENSG00000170881,RNF139,8,+,124488619,124505618,224.765922916311,0.162422301551605,1,3,0.170574780059625,0.645954032363862
ENSG00000170903,MSANTD4,11,-,105969899,106007898,288.969728570093,-0.261837186729694,1,3,0.26041201208467,0.817096446150228
ENSG00000171316,CHD7,8,+,60868029,60882028,31.7387364259013,-1.32217245922299,0.47642466944607,3,-0.781900150690811,0.520567325363071
ENSG00000171823,FBXL14,12,-,1555993,1565992,2.51989890386605,0.409338173662301,1,3,0.227596585153655,0.84215249369806
ENSG00000172315,TP53RK,20,-,46652365,46684364,121.949172363138,0.246523384684672,0.904432590355424,3,0.0792315494494808,1
ENSG00000172738,TMEM217,6,-,37202181,37212180,14.568561948763,0.00499735681170595,1,3,-0.00712509031278808,1
ENSG00000173166,RAPH1,2,-,203415682,203433681,69.6546919272621,-0.462629456844161,0.970006087247073,3,-0.815707367529893,0.718518182452131
ENSG00000174579,MSL2,3,-,136085917,136148916,238.072417138583,-0.183181743585011,1,3,-0.0986738687011906,0.949789665089951
ENSG00000175073,VCPIP1,8,-,66618487,66628486,24.9073188222276,0.285740161492158,1,3,-0.071938822631661,1
ENSG00000175505,CLCF1,11,-,67354168,67364167,674.44351719448,0.0657963551883852,1,3,-0.0593074823856053,1
ENSG00000175697,GPR156,3,-,120153478,120165477,92.5915280709296,-0.125895885921248,1,3,-0.111664416637184,1
ENSG00000176055,MBLAC2,5,-,90446209,90458208,11.2553552642722,-0.608587369212818,1,3,0.232353762749095,0.908972500757826
ENSG00000176697,BDNF,11,-,27636893,27654892,77.5284703443701,0.131163503442294,1,3,0.180965807243605,0.850948674876034
ENSG00000177051,FBXO46,19,-,45700629,45710628,41.7709107482848,0.43103669739765,0.990112701492737,3,-0.153495905534619,1
ENSG00000177352,CCDC71,3,-,49151535,49162534,243.239315463261,0.161666427023827,1,3,0.194383667577229,0.916817276023564
ENSG00000177706,FAM20C,7,+,260773,274772,11.6454336288753,-1.35145298978381,0.653354984599701,3,-0.0995088907651254,1
ENSG00000178150,ZNF114,19,+,48287609,48297608,975.78055742464,0.214563508715452,0.77414449624612,3,0.0973172928869684,1
ENSG00000178229,ZNF543,19,+,57330771,57346770,468.282889138761,-0.0841936252667314,1,3,-0.0226025030762453,1
ENSG00000178913,TAF7,5,-,141304490,141318489,368.088959535391,-0.0894250122550358,1,3,0.192356891753403,0.689352503111152
ENSG00000180346,TIGD2,4,+,89114902,89127901,88.4885137274607,0.263444954828107,1,3,0.151343782406264,0.80402608586881
ENSG00000180479,ZNF571,19,-,37553260,37564259,77.8331301555741,-0.0926746773049435,1,3,0.286698145407543,0.796800249985716
ENSG00000180543,TSPYL5,8,-,97250488,97273487,49.014928238955,-0.858371520172576,0.545084044576759,3,-0.901664441650334,0.47642466944607
ENSG00000180884,ZNF792,19,-,34938354,34956353,180.535445837576,-0.434819491461638,0.912271419526536,3,-0.819337388472507,0.47642466944607
ENSG00000180938,ZNF572,8,+,124979390,124996389,69.2939596789434,-0.0575455471875998,1,3,0.242069372433294,0.659752470533631
ENSG00000181450,ZNF678,1,+,227662462,227690461,87.5192577418118,0.152960059471213,1,3,0.502024836797749,0.701314122050592
ENSG00000181751,MACIR,5,+,103278661,103378660,67.421817042331,0.507603561503088,0.898431444869327,3,0.0871233928013773,1
ENSG00000182022,CHST15,10,-,123971668,124007667,241.859136188045,-0.748532504956179,0.559063721125318,3,-0.209687685374845,0.486081261177233
ENSG00000182118,FAM89A,1,-,230990958,231018957,110.718832774893,-0.121445434804256,1,3,0.0771192162910041,1
ENSG00000182149,IST1,16,+,71931200,71941199,66.6942051697409,0.0510600447441273,1,3,-0.0156480683190318,1
ENSG00000182253,SYNM,15,+,99135594,99148593,50.5899881184131,-0.68571049523854,0.808324080692593,3,-0.876494811534915,0.650326618920111
ENSG00000183621,ZNF438,10,-,30831632,30844631,20.5767399453114,-0.0155255079907756,1,3,-0.151570652762997,1
ENSG00000183742,MACC1,7,-,20085655,20134654,89.2382355657789,-0.156717105485663,1,3,0.198070889385311,0.99921025826546
ENSG00000183840,GPR39,2,+,132646583,132669582,96.6718762712924,-0.27815094318077,1,3,0.146322304364333,0.885465315163698
ENSG00000183891,TTC32,2,-,19865631,19896630,122.692613410075,-0.0159485107363931,1,3,0.314091591756143,0.47642466944607
ENSG00000184857,TMEM186,16,-,8783180,8795179,36.113421588422,0.368025502816509,0.993292819453099,3,-0.611930158786617,0.680382519510978
ENSG00000184992,BRI3BP,12,+,125031232,125057231,82.8226308760266,0.211469307586088,1,3,-0.600542272067329,0.47642466944607
ENSG00000185947,ZNF267,16,+,31917358,31928357,119.662723452354,0.421142520741352,0.95137778163028,3,0.546198749715892,0.80402608586881
ENSG00000186212,SOWAHB,4,-,76882152,76894151,84.0013743705667,0.0799862350877463,1,3,0.0331364368962865,1
ENSG00000186272,ZNF17,19,+,57421935,57433934,179.929956508194,-0.0950252591510074,1,3,-0.0134419609324571,1
ENSG00000187134,AKR1C1,10,+,4983284,4994283,19.4106052023851,0.633533087299218,0.866659675995382,3,0.111084253586353,1
ENSG00000187566,NHLRC1,6,-,18101440,18120439,57.9392219960937,-0.201797376656866,1,3,-0.101963669009855,1
ENSG00000188215,DCUN1D3,16,-,20841925,20854924,31.6951263676581,-0.503812642310431,0.990400535385062,3,-0.346536575727578,0.504428402747181
ENSG00000188725,SMIM15,5,-,61143704,61157703,343.505178463022,0.0619484769791205,1,3,0.235168983778655,0.818411687383941
ENSG00000188994,ZNF292,6,+,87265944,87288943,69.0560252613927,-0.407479136945531,1,3,0.0178080615533336,1
ENSG00000189057,FAM111B,11,+,59127413,59137412,205.701872989232,0.483016402440155,0.720094228930315,3,0.264549909654087,1
ENSG00000189241,TSPYL1,6,-,116254858,116274857,188.332817657457,0.0801028812557538,1,3,0.0667855369592002,1
ENSG00000189431,RASSF10,11,+,13012120,13029119,110.102594566203,-0.639601164632029,0.752403347493479,3,-0.288725769140668,0.504453110014519
ENSG00000196247,ZNF107,7,+,64711578,64721577,23.7726179126772,0.615559034887444,1,3,-0.15904400550122,1
ENSG00000196371,FUT4,11,+,94549896,94566895,48.4610644894414,-0.713253119736339,0.497773014126884,3,0.116256308249233,0.983554090229165
ENSG00000196652,ZKSCAN5,7,+,99534701,99550700,174.223890992748,0.225351304411682,0.921934879819444,3,0.15517567494348,0.686648548088168
ENSG00000196981,WDR5B,3,-,122400846,122411845,110.852445449964,0.227672919490992,0.993153682155099,3,0.220340417920497,0.481354666926088
ENSG00000197008,ZNF138,7,+,64833681,64844680,7.38280651078771,-0.60871993220591,1,3,0.631153694071978,0.507049336711142
ENSG00000197024,ZNF398,7,+,149183043,149195042,354.993756172318,-0.120786898677107,1,3,-0.474691341425061,0.620803107743443
ENSG00000197119,SLC25A29,14,-,100276116,100291115,200.957502008691,0.0421287996220141,1,3,0.073547839272496,1
ENSG00000197147,LRRC8B,1,+,89597862,89627861,28.9265924964194,-0.551799048459876,0.917991613033655,3,-0.102804008662545,1
ENSG00000197362,ZNF786,7,-,149050641,149069640,202.145239797256,-0.117236641846074,1,3,-0.189700937617069,0.6279139639599
ENSG00000198039,ZNF273,7,+,64930982,64944981,219.633822730566,0.622670749434986,0.47642466944607,3,0.299906937473052,0.830135513683285
ENSG00000198081,ZBTB14,18,-,5279022,5289021,161.709649520887,0.281012705063009,0.911955238717481,3,0.0725542154279055,1
ENSG00000198169,ZNF251,8,-,144710909,144720908,15.8565274355473,0.285975117355603,1,3,-0.258018556815074,0.948793336316026
ENSG00000198205,ZXDA,X,-,57816430,57905429,195.705252377401,0.431026234444768,0.800292315306839,3,0.0270903252075495,1
ENSG00000198799,LRIG2,1,+,113132261,113144260,33.7524074236753,-0.4298785988472,0.956899940628518,3,0.014398654809499,1
ENSG00000205730,ITPRIPL2,16,+,19121630,19141629,34.1114045289677,0.0175869254987875,1,3,-0.210753793967207,0.828804465942503
ENSG00000212747,RTL8B,X,-,135006513,135020512,64.1020199580774,0.00590437111424583,1,3,-0.336626530064781,0.820499724877717
ENSG00000213096,ZNF254,19,+,24129969,24167968,118.141253824961,-0.474055115240953,0.748936186091536,3,0.463011109007057,0.80402608586881
ENSG00000236287,ZBED5,11,-,10834706,10852705,139.507627312682,0.160046102408051,1,3,0.251552151775994,0.79525623511467
ENSG00000243660,ZNF487,10,+,43483182,43495181,41.8564576560022,0.123116289843365,1,3,0.0059180286992288,1
ENSG00000247626,MARS2,2,+,197708396,197748395,96.5840826580167,-0.0512420701390356,1,3,-0.0223314203487679,1
ENSG00000254535,PABPC4L,4,-,134144333,134196332,63.0757818263002,0.432669680135439,0.953825752654793,3,0.0626689600678419,1
ENSG00000256671,LIMS4,2,-,110345883,110445882,4165.85701161164,-0.0713327750835751,1,3,0.226861741418047,1
ENSG00000256977,LIMS3,2,+,109925626,110025625,4041.537551089,-0.0472819866360828,1,3,0.0138985285366631,1
ENSG00000261221,ZNF865,19,+,55617270,55628269,60.2656005609604,0.0326729466723491,1,3,-0.232476073239148,0.898497840654634
ENSG00000272602,ZNF595,4,+,88209,102208,460.949204060801,0.391132350437938,0.47642466944607,3,0.285451248252579,0.637242562480154
ENSG00000273983,H3C8,6,-,26250918,26270917,563.084887367479,-0.137960012099242,1,3,0.05823964319538,1
ENSG00000275342,PRAG1,8,-,8303736,8317735,61.0616681468806,-0.783437725999724,0.517145767902999,3,-0.799145533266304,0.543214780605451
ENSG00000288709,F8A2,X,+,155383802,155417801,80.5308198483342,-0.263073488481634,1,3,-0.119084474084074,1
ENSG00000291237,SOD2,6,-,159605069,159669068,171.716594372623,-0.269646451248316,0.984690637002397,3,-0.212672300237225,0.731575280855319
